movie_id,movie_name,year,certificate,runtime,rating,description,director,director_id,star,star_id,votes,gross(in $),Genre1,Genre2,Genre3
tt0109369,Camp Nowhere,1994,PG,96 min,6.0,"A group of junior high kids don't want to go to summer camps chosen by their parents. They make their own adult-free camp and ""hire"" an ex drama teacher to help.",Jonathan Prince,/name/nm0697676/,"Jonathan Jackson, 
Christopher Lloyd, 
John Putch, 
Peter Scolari","/name/nm0005044/,/name/nm0000502/,/name/nm0003289/,/name/nm0778642/",10047.0,10471613.0,Adventure, Comedy, Family
tt0033563,Dumbo,1941,G,64 min,7.2,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","Samuel Armstrong, 
Norman Ferguson, 
Wilfred Jackson, 
Jack Kinney, 
Bill Roberts, 
Ben Sharpsteen, 
John Elliotte",/name/nm0035899/,"Sterling Holloway, 
Edward Brophy, 
Herman Bing, 
Billy Bletcher","/name/nm0272568/,/name/nm0414144/,/name/nm0455741/,/name/nm0730860/,/name/nm0789313/,/name/nm0254675/,/name/nm0001359/,/name/nm0112395/,/name/nm0082884/,/name/nm0088285/",134652.0,1600000.0,Animation, Adventure, Drama
tt0258470,Bubble Boy,2001,PG-13,84 min,5.7,Bubble Boy's been in a bubble all his life due to no immune system. A cute blonde girl befriends BB. Her boyfriend proposes and BB decides to travel across USA to Niagara Falls to stop the wedding.,Blair Hayes,/name/nm0370911/,"Jake Gyllenhaal, 
Swoosie Kurtz, 
Marley Shelton, 
Danny Trejo","/name/nm0350453/,/name/nm0001436/,/name/nm0005420/,/name/nm0001803/",33932.0,5002310.0,Adventure, Comedy, Romance
tt0183523,Mission to Mars,2000,PG,114 min,5.6,"When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",Brian De Palma,/name/nm0000361/,"Tim Robbins, 
Gary Sinise, 
Don Cheadle, 
Connie Nielsen","/name/nm0000209/,/name/nm0000641/,/name/nm0000332/,/name/nm0001567/",74357.0,60883407.0,Adventure, Sci-Fi, Thriller
tt0104437,"Honey, I Blew Up the Kid",1992,PG,89 min,4.9,"The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall.",Randal Kleiser,/name/nm0459170/,"Rick Moranis, 
Marcia Strassman, 
Robert Oliveri, 
Daniel Shalikar","/name/nm0001548/,/name/nm0833519/,/name/nm0647084/,/name/nm0787741/",45121.0,58662452.0,Adventure, Comedy, Family
tt0091149,The Great Mouse Detective,1986,G,74 min,7.1,"Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.","Ron Clements, 
Burny Mattinson, 
David Michener, 
John Musker",/name/nm0166256/,"Vincent Price, 
Barrie Ingham, 
Val Bettin, 
Susanne Pollatschek","/name/nm0560329/,/name/nm0585150/,/name/nm0615780/,/name/nm0001637/,/name/nm0408813/,/name/nm0079353/,/name/nm0689527/",51063.0,38600000.0,Animation, Adventure, Family
tt0299172,Home on the Range,2004,PG,76 min,5.4,"To save their farm, the resident animals go bounty hunting for a notorious outlaw.","Will Finn, 
John Sanford",/name/nm0278181/,"Judi Dench, 
Cuba Gooding Jr., 
Jennifer Tilly, 
Randy Quaid","/name/nm0998551/,/name/nm0001132/,/name/nm0000421/,/name/nm0000236/,/name/nm0001642/",24023.0,50030461.0,Animation, Adventure, Comedy
tt0050798,Old Yeller,1957,Approved,83 min,7.3,"A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all.",Robert Stevenson,/name/nm0829038/,"Dorothy McGuire, 
Fess Parker, 
Tommy Kirk, 
Jeff York","/name/nm0570192/,/name/nm0662240/,/name/nm0456565/,/name/nm0948714/",14099.0,21909000.0,Adventure, Drama, Family
tt0104839,Medicine Man,1992,PG-13,106 min,6.0,"In the beautiful and dangerous Amazon rainforest, dissimilar people must make their choices between business, science, and love.",John McTiernan,/name/nm0001532/,"Sean Connery, 
Lorraine Bracco, 
José Wilker, 
Rodolfo De Alexandre","/name/nm0000125/,/name/nm0000966/,/name/nm0929093/,/name/nm0206889/",23883.0,45500797.0,Adventure, Drama, Romance
tt0103924,Captain Ron,1992,PG-13,100 min,5.8,"A Chicagoan inherits an old yacht. He, his wife, daughter and son fly to a Caribbean island and hire a dubious Captain Ron to sail them on an adventure to Miami.",Thom Eberhardt,/name/nm0248054/,"Kurt Russell, 
Martin Short, 
Mary Kay Place, 
Benjamin Salisbury","/name/nm0000621/,/name/nm0001737/,/name/nm0005316/,/name/nm0758436/",21940.0,22518097.0,Adventure, Comedy,
